zip,city,lat,long
,,,
36083,auburn,32.38673,-85.684361
,,,
35441,tuscaloosa,32.852762,-87.750329
,,,
35051,birmingham,33.205032,-86.618915
,,,
35121,anniston,33.941185,-86.455102
,,,
35058,decatur,34.228856,-86.737261
,,,
35619,decatur,34.382723,-87.152105
,,,
35016,decatur,34.32387,-86.502006
,,,
36115,montgomery,32.406766,-86.246699
,,,
36353,dothan,31.478527,-85.348637
,,,
36728,montgomery,32.161399,-87.476215
,,,
35229,birmingham,33.465794,-86.788551
,,,
99574,,60.893995,-145.109037
,,,
99729,fairbanks,63.006166,-149.400714
,,,
36027,columbus,32.060643,-85.116624
,,,
35470,meridian,32.561974,-88.066347
,,,
86544,farmington,36.619478,-109.164204
,,,
35173,birmingham,33.655407,-86.563109
,,,
35098,decatur,34.1211,-87.04688
,,,
71653,monroe,33.343373,-91.251768
,,,
81524,western slope,39.274252,-108.787139
,,,
93308,bakersfield,35.621087,-118.789677
,,,
20012,washington,38.976873,-77.032609
,,,
83811,spokane / coeur d'alene,48.10796,-116.138084
,,,
4554,maine,43.862731,-69.512323
,,,
60034,janesville,42.456318,-88.419695
,,,
21529,western maryland,39.703942,-78.767171
,,,
2671,cape cod / islands,41.670839,-70.1134
,,,
4019,maine,43.686216,-70.102838
,,,
49854,upper peninsula,46.061609,-86.304483
,,,
56127,mankato,43.547469,-94.764701
,,,
4766,maine,46.892463,-68.21578
,,,
39150,southwest MS,32.004742,-90.976048
,,,
59870,missoula,46.516308,-114.06345
,,,
59014,billings,45.193946,-108.759696
,,,
2461,boston,42.317362,-71.206508
,,,
88045,las cruces,32.385089,-108.756093
,,,
99517,anchorage / mat-su,61.190346,-149.939108
,,,
99639,kenai peninsula,60.061709,-151.406462
,,,
99768,,65.033029,-154.913209
,,,
85264,phoenix,33.635113,-111.532284
,,,
86334,prescott,34.949042,-112.54456
,,,
85501,phoenix,33.559004,-110.769126
,,,
85638,sierra vista,31.716172,-110.051604
,,,
85726,tucson,32.204728,-110.945598
,,,
72756,fayetteville,36.32298,-93.975959
,,,
72950,fort smith,34.776041,-93.888006
,,,
71846,texarkana,33.943737,-94.127736
,,,
93592,bakersfield,35.852815,-117.224709
,,,
93060,ventura county,34.402343,-119.094824
,,,
93960,monterey bay,36.389618,-121.343146
,,,
93235,visalia,36.389827,-119.219896
,,,
93622,fresno,36.814503,-120.57524
,,,
90018,los angeles,34.028887,-118.317183
,,,
96057,siskiyou county,41.268682,-121.93094
,,,
93666,visalia,36.547067,-119.335641
,,,
94952,san francisco bay area,38.234553,-122.760385
,,,
94127,san francisco bay area,37.73622,-122.459338
,,,
96034,siskiyou county,41.428284,-122.609441
,,,
93620,merced,37.020043,-120.625404
,,,
49934,upper peninsula,47.178117,-88.437985
,,,
28428,wilmington,34.046841,-77.909659
,,,
39465,hattiesburg,31.339572,-89.18817
,,,
65747,springfield,36.600861,-93.580084
,,,
64112,kansas city,39.035975,-94.59519
,,,
39144,southwest MS,31.821262,-90.792159
,,,
3076,boston,42.730992,-71.337073
,,,
97368,salem,45.024376,-123.903116
,,,
15316,morgantown,39.724269,-80.252412
,,,
19137,philadelphia,39.993096,-75.071978
,,,
29440,myrtle beach,33.38111,-79.32976
,,,
69341,scottsbluff / panhandle,41.72097,-103.632808
,,,
11550,long island,40.701475,-73.621108
,,,
78404,corpus christi,27.768022,-97.399136
,,,
84753,st george,37.995219,-113.817319
,,,
5450,plattsburgh-adirondacks,44.894578,-72.795246
,,,
24171,danville,36.696637,-80.220827
,,,
23092,richmond,37.606769,-76.514748
,,,
24622,southwest VA,37.214674,-81.789853
,,,
44123,cleveland,41.604699,-81.524123
,,,
98382,seattle-tacoma,48.023189,-123.106245
,,,
73505,lawton,34.572634,-98.479102
,,,
25425,eastern panhandle,39.306168,-77.773612
,,,
97630,klamath falls,42.331353,-120.367452
,,,
82225,scottsbluff / panhandle,43.01118,-104.24387
,,,
35079,birmingham,33.93788,-86.758349
,,,
8073,philadelphia,40.009542,-74.866779
,,,
87506,santa fe / taos,35.813114,-105.984455
,,,
88301,roswell / carlsbad,33.778555,-105.790679
,,,
87558,santa fe / taos,36.640211,-105.428066
,,,
88042,las cruces,32.812478,-107.578383
,,,
88055,las cruces,32.727788,-108.740985
,,,
10171,new york city,40.755899,-73.973858
,,,
10110,new york city,40.754499,-73.982256
,,,
12758,catskills,41.940283,-74.739118
,,,
10282,new york city,40.716921,-74.015066
,,,
14212,buffalo,42.894211,-78.820173
,,,
11956,long island,40.969049,-72.462175
,,,
14788,twin tiers NY/PA,42.061991,-78.380108
,,,
10040,new york city,40.858305,-73.930549
,,,
11501,long island,40.746286,-73.638905
,,,
14035,buffalo,42.490778,-78.848389
,,,
13617,potsdam-canton-massena,44.580531,-75.142767
,,,
13316,utica-rome-oneida,43.418917,-75.73974
,,,
34287,sarasota,27.052571,-82.244353
,,,
33413,palm beach county,26.663779,-80.151724
,,,
32421,panama city,30.524992,-85.17263
,,,
30417,statesboro,32.170468,-81.920992
,,,
30816,augusta,33.156206,-82.166263
,,,
30332,atlanta,33.778271,-84.404537
,,,
30705,northwest GA,34.744142,-84.731404
,,,
31631,north central FL,30.643635,-82.741456
,,,
31038,macon / warner robins,33.133747,-83.646996
,,,
30464,statesboro,32.437229,-82.224961
,,,
31018,augusta,32.977092,-82.627586
,,,
30428,macon / warner robins,32.224545,-82.71513
,,,
96777,,19.251948,-155.456769
,,,
96746,,22.093378,-159.38519
,,,
83553,lewiston / clarkston,46.390006,-115.892311
,,,
61414,quad cities,41.124679,-90.155739
,,,
13102,ithaca,42.550304,-76.292002
,,,
27893,eastern NC,35.688948,-77.896676
,,,
27295,winston-salem,35.871767,-80.31018
,,,
28504,jacksonville,35.224563,-77.634868
,,,
28787,asheville,35.741251,-82.515578
,,,
27825,eastern NC,35.832804,-77.174424
,,,
28611,hickory / lenoir,36.010955,-81.735254
,,,
28089,hickory / lenoir,35.318233,-81.659574
,,,
58205,grand forks,47.951474,-97.378991
,,,
43084,columbus,40.150141,-83.557259
,,,
44493,akron / canton,40.825018,-80.888617
,,,
44233,akron / canton,41.249087,-81.737867
,,,
43203,columbus,39.973084,-82.969026
,,,
44671,akron / canton,40.646033,-81.365669
,,,
43330,lima / findlay,40.813493,-83.419408
,,,
1236,western massachusetts,42.266496,-73.378393
,,,
1003,hartford,42.389941,-72.524108
,,,
49861,upper peninsula,46.481614,-88.243343
,,,
48625,northern michigan,44.052769,-84.839621
,,,
48233,detroit metro,42.323697,-83.061662
,,,
48091,detroit metro,42.468168,-83.057986
,,,
49948,northern WI,46.711175,-89.020015
,,,
55029,minneapolis / st paul,45.638337,-93.198359
,,,
56467,bemidji,46.992697,-94.818584
,,,
56639,bemidji,47.918547,-93.536241
,,,
56671,bemidji,47.895133,-95.305386
,,,
56001,mankato,44.128125,-93.97899
,,,
56313,st cloud,45.784142,-93.552737
,,,
39140,jackson,31.749259,-90.020236
,,,
39759,tuscaloosa,33.437924,-88.825142
,,,
38920,north mississippi,33.910061,-89.995338
,,,
